iter	RMSE
377	1410.204337
378	1408.555859
379	1407.458238
380	1405.255701
381	1404.484251
382	1403.118567
383	1401.210228
384	1400.597058
385	1399.424824
386	1396.717302
387	1394.236069
388	1393.869245
389	1392.433072
390	1391.273319
391	1388.146615
392	1386.895437
393	1384.581285
394	1382.207505
395	1380.447545
396	1380.095311
397	1377.252117
398	1376.397732
399	1373.520402
400	1372.388371
401	1372.02574
402	1370.688044
403	1369.992596
404	1367.498818
405	1365.75878
406	1364.266392
407	1363.675835
408	1362.164941
409	1361.440804
410	1361.096374
411	1359.985545
412	1358.639137
413	1358.083467
414	1356.764878
415	1356.439611
416	1355.839456
417	1354.357508
418	1353.101447
419	1352.527801
420	1351.720981
421	1351.091758
422	1350.607625
423	1348.40527
424	1347.416406
425	1345.105751
426	1342.949395
427	1342.400314
428	1341.837609
429	1340.429721
430	1337.764389
431	1337.115768
432	1336.802604
433	1334.161543
434	1333.307137
435	1332.132718
436	1331.627364
437	1330.721098
438	1330.008821
439	1328.564985
440	1327.345614
441	1326.107844
442	1325.792077
443	1324.766979
444	1324.465813
445	1322.939071
446	1322.306076
447	1319.194549
448	1318.893946
449	1316.992822
450	1314.963378
451	1313.397819
452	1311.000743
453	1309.969478
454	1307.935903
455	1306.668848
456	1306.127271
457	1305.636079
458	1305.115839
459	1303.967882
460	1301.877153
461	1299.445534
462	1299.008542
463	1298.699643
464	1297.948729
465	1297.117137
466	1296.809639
467	1295.842679
468	1295.529472
469	1291.454932
470	1288.965162
471	1288.250745
472	1286.221916
473	1284.951113
474	1283.696443
475	1282.474591
476	1281.078373
477	1280.787732
478	1280.189002
479	1278.843865
480	1277.931392
481	1276.645129
482	1275.937715
483	1275.436214
484	1274.846006
485	1273.588067
486	1272.74923
487	1271.956881
488	1271.664325
489	1270.795344
490	1269.207793
491	1267.486552
492	1265.841073
493	1265.025904
494	1264.549033
495	1262.89129
496	1261.941162
497	1261.210492
498	1260.569648
499	1259.957056
500	1259.293891
501	1258.495005
502	1258.04309
503	1257.735922
504	1257.275843
505	1254.042531
506	1253.496622
507	1253.209058
508	1252.917357
509	1252.284743
510	1252.018172
511	1250.319519
512	1250.039455
513	1249.76413
514	1249.351086
515	1249.1025
516	1248.663302
517	1248.40662
518	1247.974452
519	1247.720432
520	1247.092581
521	1246.469378
522	1245.972528
523	1245.39954
524	1245.144063
525	1243.090965
526	1242.604231
527	1242.203017
528	1241.425488
529	1238.593187
530	1237.542551
531	1234.971236
532	1233.990345
533	1231.602843
534	1231.379492
535	1231.15074
536	1230.343556
537	1229.457411
538	1226.775126
539	1224.698631
540	1223.894906
541	1223.263553
542	1222.442836
543	1220.504767
544	1219.981798
545	1219.441692
546	1219.02845
547	1218.351992
548	1217.962172
549	1217.705949
550	1217.244592
551	1217.007573
552	1216.779424
553	1214.285579
554	1213.747613
555	1213.108436
556	1212.866102
557	1212.078255
558	1211.85613
559	1211.351487
560	1210.907174
561	1210.677075
562	1210.292403
563	1208.966663
564	1208.733635
565	1208.503947
566	1207.946674
567	1207.535603
568	1206.238641
569	1206.009354
570	1205.775713
571	1205.380247
572	1205.166595
573	1204.289197
574	1203.083295
575	1201.32906
576	1200.450555
577	1199.197422
578	1198.978812
579	1198.604499
580	1195.104201
581	1194.344893
582	1192.271171
583	1190.657642
584	1189.670075
585	1188.086145
586	1187.105506
587	1186.705448
588	1186.140883
589	1185.777498
590	1184.576346
591	1184.366217
592	1182.003341
593	1181.771141
594	1180.218887
595	1178.937369
596	1177.835587
597	1177.605046
598	1177.381776
599	1176.586662
600	1176.376813
601	1175.676545
602	1174.501654
603	1173.944135
604	1172.784709
605	1172.091233
606	1171.586992
607	1171.365816
608	1171.155006
609	1169.604808
610	1168.751328
611	1168.234872
612	1167.864765
613	1166.33252
614	1166.126462
615	1165.750897
616	1165.548756
617	1164.101974
618	1163.78044
619	1162.21402
620	1161.859125
621	1161.180506
622	1159.782653
623	1159.283095
624	1158.877445
625	1158.498019
626	1158.101619
627	1157.891167
628	1157.687883
629	1156.394058
630	1156.201178
631	1156.00735
632	1155.146845
633	1153.356987
634	1150.682332
635	1149.845079
636	1149.648888
637	1148.944759
638	1148.243767
639	1147.61629
640	1146.966888
641	1146.600323
642	1146.021671
643	1144.132813
644	1143.767889
645	1143.299253
646	1141.055894
647	1139.065685
648	1138.738062
649	1138.413776
650	1136.00774
651	1135.053706
652	1134.637879
653	1134.447538
654	1134.031332
655	1133.208088
656	1132.64632
657	1132.164499
658	1131.622903
659	1130.757956
660	1129.136488
661	1128.474629
662	1128.296235
663	1126.465363
664	1126.287877
665	1125.705642
666	1124.073742
667	1122.500994
668	1121.271734
669	1120.980055
670	1120.145965
671	1119.089351
672	1117.29697
673	1116.213436
674	1113.830176
675	1113.265536
676	1112.75125
677	1110.562252
678	1109.804624
679	1108.661304
680	1107.664533
681	1107.076735
682	1106.650235
683	1106.255957
684	1106.064612
685	1105.507605
686	1104.617973
687	1104.437082
688	1104.124074
689	1103.838554
690	1103.376314
691	1103.011676
692	1101.543203
693	1100.486146
694	1099.93247
695	1098.749553
696	1098.069053
697	1097.591448
698	1095.516166
699	1095.04625
700	1093.922694
701	1093.467058
702	1092.528089
703	1091.902551
704	1091.465268
705	1090.224282
706	1089.605081
707	1089.427138
708	1089.094607
709	1088.79226
710	1086.038348
711	1085.161992
712	1083.960576
713	1083.651281
714	1083.159359
715	1081.339719
716	1080.756369
717	1079.148036
718	1078.957831
719	1077.649188
720	1076.48637
721	1076.163847
722	1075.806981
723	1074.854138
724	1073.409332
725	1072.532731
726	1071.812516
727	1071.224014
728	1070.248296
729	1069.180435
730	1068.717948
731	1067.285196
732	1067.104401
733	1066.434063
734	1065.601769
735	1065.312055
736	1064.889182
737	1064.140308
738	1062.931535
739	1062.437114
740	1061.584061
741	1060.482248
742	1059.582097
743	1059.410724
744	1058.630318
745	1058.123887
746	1057.967664
747	1056.931399
748	1056.76542
749	1055.544418
750	1054.601568
751	1053.996241
752	1053.699094
753	1052.383484
754	1050.771255
755	1049.799102
756	1048.936035
757	1047.988916
758	1047.544314
759	1047.38228
760	1047.218966
761	1046.854961
762	1046.374931
763	1046.217478
764	1045.230102
765	1044.648635
766	1044.276593
767	1043.735968
768	1043.483759
769	1042.66847
770	1042.32556
771	1041.491717
772	1041.024714
773	1040.769138
774	1039.71777
775	1039.178126
776	1038.282815
777	1036.944507
778	1035.36277
779	1033.701352
780	1033.534131
781	1033.198116
782	1032.84672
783	1031.675738
784	1030.924269
785	1029.680984
786	1028.564057
787	1027.778619
788	1027.204126
789	1026.695853
790	1024.790721
791	1024.337417
792	1024.046006
793	1023.702718
794	1022.868499
795	1022.384614
796	1020.821937
797	1020.392885
798	1019.465981
799	1018.975898
800	1018.638633
801	1017.920208
802	1017.221765
803	1016.879069
804	1016.724595
805	1016.470014
806	1015.75286
807	1015.500923
808	1014.953857
809	1014.16898
810	1014.011055
811	1013.852978
812	1013.470537
813	1013.182841
814	1012.940107
815	1012.687759
816	1012.536674
817	1010.859889
818	1010.702108
819	1010.517658
820	1010.037271
821	1009.180055
822	1008.66342
823	1008.353124
824	1007.972921
825	1007.679246
826	1007.532486
827	1007.293462
828	1006.743869
829	1006.501765
830	1006.181154
831	1005.882935
832	1005.733204
833	1003.651609
834	1002.92998
835	1002.255042
836	1002.026658
837	1001.311685
838	1000.800843
839	1000.483428
840	999.5972254
841	998.7210373
842	998.1825434
843	997.4162158
844	996.9137016
845	995.6054793
846	995.3780894
847	994.8774305
848	993.4783754
849	992.3020377
850	992.0298246
851	991.8371464
852	991.6902325
853	990.8061076
854	990.3822759
855	989.9380193
856	989.6279732
857	988.9936772
858	987.9073704
859	987.7495633
860	987.374006
861	987.0766695
862	986.2207052
863	984.6667464
864	983.966044
865	983.2930525
866	982.6730394
867	982.5242069
868	982.1558169
869	981.0146866
870	980.6356109
871	978.9989665
872	977.7192562
873	976.8803404
874	976.4897703
875	976.1818565
876	976.0363831
877	975.66831
878	975.0354051
879	974.4117044
880	973.6930687
881	971.8577247
882	971.2026945
883	970.1982033
884	969.2953167
885	969.147958
886	968.8502825
887	968.2776083
888	968.0459515
889	967.777793
890	967.543442
891	966.4563784
892	966.0227945
893	964.8674817
894	964.6613375
895	963.8989951
896	963.7437514
897	963.595506
898	963.4572845
899	963.3126164
900	963.1699978
901	962.8896033
902	962.1245396
903	960.8665182
904	960.4008897
905	959.861377
906	959.3843784
907	959.2506371
908	958.8405082
909	957.9586073
910	957.527501
911	956.5065125
912	956.2945572
913	955.515616
914	955.3695853
915	955.1670325
916	954.9083361
917	954.0445149
918	953.9082917
919	952.9875082
920	952.8468362
921	951.2872825
922	949.4683785
923	948.9057335
924	947.9746144
925	946.8071576
926	946.0206909
927	945.8870829
928	944.8138745
929	943.0893486
930	942.9548276
931	942.7393215
932	942.6018128
933	942.4691128
934	941.6815149
935	941.0778262
936	940.7691949
937	939.4360911
938	939.314257
939	938.8965804
940	936.9316852
941	935.8816992
942	935.5330613
943	935.4044252
944	935.0548467
945	934.9314817
946	934.7319276
947	934.6065912
948	934.2152799
949	933.8189607
950	932.7539871
951	932.6275644
952	931.749051
953	931.3412286
954	930.8685634
955	930.169503
956	929.8655213
957	929.3482856
958	929.2196526
959	928.8996533
960	928.4410537
961	927.9954281
962	926.9607884
963	926.4343634
964	926.0168745
965	925.7998135
966	924.8048172
967	923.5592378
968	922.0056338
969	921.3540391
970	920.9521184
971	920.3990499
972	919.6857226
973	918.6263344
974	918.0286038
975	917.1233811
976	916.9258047
977	916.7296166
978	916.2038697
979	915.9480161
980	915.4382329
981	915.2344846
982	914.9047094
983	913.5363725
984	913.1460927
985	912.9621493
986	912.6164902
987	912.4866962
988	911.9221466
989	911.2402409
990	911.1151681
991	910.9934064
992	910.1081407
993	909.9155387
994	909.2098733
995	908.6589648
996	908.0835287
997	907.5767258
998	907.0723738
999	906.9492079
